metric,namespace,pod,value
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_phase,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_qos_class,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_qos_class,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_qos_class,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_ready,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_initialized_time,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752294
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_reason,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_scheduled,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_status_scheduled,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_scheduled,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,0
kube_pod_status_scheduled_time,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1733752292
kube_pod_tolerations,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_tolerations,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_service_account,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
kube_pod_scheduler,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
node_namespace_pod:kube_pod_info:,kubeflow,chain-employee-data-pipeline-618e4a19-530b-405b-9ce6-a1f77gbfj9-system-container-impl-361845380,1
